song_name,performer_name,album_name,song_share_URL
Metal Killed My Cat,30footFALL,"Ever Revolving, Never Evolving",https://www.musixmatch.com/lyrics/30footfall/Metal-Killed-My-Cat?utm_source=application&utm_campaign=api&utm_medium=
My Car,Atlas Sound,Things I'll Miss EP,https://www.musixmatch.com/lyrics/Atlas-Sound/My-Car?utm_source=application&utm_campaign=api&utm_medium=
Loveride,Idiot Flesh,The Nothing Show,https://www.musixmatch.com/lyrics/Idiot-Flesh/Loveride?utm_source=application&utm_campaign=api&utm_medium=
The Moth,Reaching Quiet,In the Shadow of the Living Room,https://www.musixmatch.com/lyrics/Reaching-Quiet/The-Moth?utm_source=application&utm_campaign=api&utm_medium=
Support Our Troops OH!,Devendra Banhart,Xiu Xiu and Devendra Banhart,https://www.musixmatch.com/lyrics/Devendra-Banhart/Support-Our-Troops-OH?utm_source=application&utm_campaign=api&utm_medium=
Flood / Ken,Sebadoh,Bubble And Scrape,https://www.musixmatch.com/lyrics/Sebadoh/Flood-Ken?utm_source=application&utm_campaign=api&utm_medium=
Watching Through My Chaos,Cripple Bastards,Your Lies in Check,https://www.musixmatch.com/lyrics/Cripple-Bastards/Watching-Through-My-Chaos?utm_source=application&utm_campaign=api&utm_medium=
Unconscious Pleasure,Avulsed,Seven Years of Decay,https://www.musixmatch.com/lyrics/Avulsed/Unconscious-Pleasure?utm_source=application&utm_campaign=api&utm_medium=
400 Bucks,Burden Brothers,Queen O' Spades,https://www.musixmatch.com/lyrics/Burden-Brothers/400-Bucks?utm_source=application&utm_campaign=api&utm_medium=
Unconscious Pleasure (2006 Re-dissection),Avulsed,Reanimations,https://www.musixmatch.com/lyrics/Avulsed/Unconscious-Pleasure-2006-Re-Dissection?utm_source=application&utm_campaign=api&utm_medium=
"Champagne for My Real Friends, Real Pain for My Sham Friends",APM Karaoke,Karaoke Hits - Fall Out Boy (Vol. 2),https://www.musixmatch.com/lyrics/APM-Karaoke/Champagne-for-My-Real-Friends-Real-Pain-for-My-Sham-Friends?utm_source=application&utm_campaign=api&utm_medium=
Wars Won't,Human Ground,Human Ground,https://www.musixmatch.com/lyrics/Human-Ground/Wars-Won-t?utm_source=application&utm_campaign=api&utm_medium=
